Rating (1-5) and the number of ratings for each wine product
Year: 2022
,
 ProductID,Rating,NumberOfRatings
,p002606,3.7,48
,p007337,3.9,58
,p000562,3.7,109
,p008161,4.1,103
,p001644,3.9,142
,p000705,4.2,40
,p007036,4.0,50
,p006142,3.7,252
,p009456,3.6,175
,p013222,3.8,45
,p010256,3.6,88
,p010806,3.7,65
,p010322,3.7,359
,p013041,4.4,95
,p004647,4.3,763
,p006268,3.8,185
,p000030,4.3,33
,p004207,3.9,27
,p009428,3.8,78
,p009540,3.4,156
,p003981,4.0,150
,p003906,4.4,108
,p012235,3.5,169
,p004899,3.8,138
,p010546,3.9,314
,p001526,3.6,32
,p007928,4.0,177
,p008146,3.4,31
,p011427,4.0,192
,p001470,4.0,42
,p005667,3.4,89
,p012387,3.8,33
,p005733,4.3,44
,p011413,4.4,468
,p006491,3.7,308
,p011741,3.7,57
,p013582,4.2,486
,p006109,3.6,636
,p012871,3.3,254
,p013408,3.7,126
,p001477,4.3,35
,p011600,3.8,61
,p000244,4.0,29
,p011045,4.1,66
,p011916,3.6,48
,p005797,3.8,112
,p013038,4.4,150
,p007896,3.5,37
,p011882,3.8,171
,p007054,3.6,82
,p007834,3.9,263
,p003318,3.9,181
,p003997,3.8,692
,p011826,4.0,528
,p004597,3.5,291
,p010212,3.9,82
,p002003,4.2,171
,p003812,3.7,108
,p004607,4.5, 2326
,p001837,3.8,162
,p006886,4.0,108
,p011757,4.1,202
,p007955,3.4,78
,p007209,3.6,587
,p008366,3.9,93
,p010460,4.0,305
,p009128,3.2,36
,p010832,4.0,82
,p008023,4.0,267
,p011560,3.8,279
,p001433,3.9,67
,p009987,3.4,136
,p001352,4.1,27
,p006330,4.2,31
,p004800,4.0,68
,p002543,3.7,287
,p008198,4.2,242
,p006797,3.7,306
,p005819,3.7,61
,p009828,3.9,459
,p011199,3.9,365
,p009058,3.7,65
,p004882,3.8,33
,p007714,3.9,56
,p012380,3.8,55
,p008024,4.0,67
,p003099,4.0,162
,p006257,3.8,239
,p009664,3.8,26
,p004595,3.8,58
,p001598,3.6,77
,p000655,3.7,227
,p009167,3.8, 1114
,p003064,4.0,27
,p000918,4.0,27
,p005786,3.8,63
,p006080,3.7,826
,p007499,4.0,40
,p004128,3.7,347
,p001127,3.5,51
,p010475,3.6,29
,p004175,3.8,556
,p013037,3.6, 1156
,p005340,3.5, 1331
,p005233,4.5,44
,p012934,3.7,113
,p008660,4.5,35
,p003217,4.3,19454
,p003619,3.5,27
,p008173,4.2,885
,p012155,3.9,105
,p011425,3.8,111
,p000335,3.8,536
,p008457,4.0,146
,p002071,4.0, 2280
,p005408,4.1,195
,p012568,4.1,673
,p010607,4.0,41
,p011801,3.8,54
,p008283,4.1,105
,p011129,4.1,279
,p008068,4.0,75
,p003350,3.5,129
,p004967,4.1,59
,p003303,4.3, 1071
,p000699,4.1,384
,p002704,3.8,43
,p008117,3.9,61
,p009668,3.7,32
,p005021,4.1,26
,p001558,4.2,45
,p003660,3.8,267
,p001564,3.7,371
,p008518,3.6,91
,p002509,3.9,131
,p004666,3.3,25
,p009225,3.9,161
,p000923,3.6,88
,p008861,3.7, 1092
,p006295,4.1, 1937
,p002351,3.5,50
,p008125,3.8,71
,p010646,3.3,170
,p000420,3.4,94
,p009883,3.8,66
,p002178,3.6,54
,p004176,4.2,256
,p003068,4.5,157
,p001819,3.6, 1093
,p009479,3.6,96
,p005969,4.6, 1732
,p002791,4.1,26
,p003902,3.9,25
,p007101,4.0,117
,p001316,4.4,294
,p007145,3.8,151
,p009649,4.1,78
,p002776,4.1, 1087
,p012714,4.2,47
,p003137,4.1,227
,p012428,3.9,227
,p007551,3.7,57
,p007759,3.7,911
,p005875,3.7,44
,p010410,4.1,583
,p007508,3.6,34
,p002931,3.7,251
,p007736,3.9,231
,p000438,3.8,561
,p001719,3.6,775
,p000561,3.6,127
,p000866,3.7, 1016
,p009759,3.8,594
,p004062,3.9, 1494
,p009402,3.9,101
,p007528,4.0,61
,p001111,3.6,124
,p005373,3.9, 1178
,p003433,4.5, 1473
,p011683,3.6,49
,p004341,3.7, 1861
,p000695,3.7,429
,p013347,3.9,172
,p009926,3.7,177
,p000360,3.6,108
,p004556,4.3,430
,p001103,4.1,79
,p005529,4.0,42
,p011570,4.1,120
,p010983,3.5,169
,p009417,3.8,249
,p001069,4.1,153
,p005457,4.0,40
,p007059,4.2,185
,p000500,4.2,69
,p004898,3.9,72
,p000501,4.0,121
,p010562,3.8,48
,p009907,4.3,205
,p004416,4.5,40
,p009756,3.5,424
,p003344,3.9,122
,p007409,3.6,436
,p007140,4.1,161
,p000247,4.2, 1640
,p001909,3.5,33
,p004314,3.6,62
,p011949,3.5,31
,p012314,3.6, 5148
,p002269,3.9,827
,p009673,3.2,38
,p011561,4.1, 1382
,p010909,4.2,47
,p003248,3.9,235
,p006778,4.0,260
,p004051,4.1,31
,p013073,3.5,203
,p009945,3.9,26
,p009545,3.6,100
,p008200,3.8, 2115
,p011432,3.7, 1844
,p009422,3.8, 1055
,p002179,4.3,186
,p012079,3.3,33
,p002890,3.9,38
,p004030,3.9,30
,p002613,3.8,275
,p008034,3.7,42
,p003608,4.4,43
,p007716,3.6,141
,p002167,3.8,394
,p002524,3.6,261
,p000462,3.6, 1625
,p006124,3.5,310
,p000352,4.2,200
,p009610,4.0,320
,p007795,4.1,301
,p013694,4.2,88
,p010923,3.7, 3418
,p009940,3.5,47
,p009598,3.9,162
,p008013,4.3,48
,p006647,3.7,134
,p003370,4.2,71
,p005740,4.3,143
,p010409,3.9,56
,p000874,3.7, 2218
,p012177,4.0,58
,p000999,4.0,986
,p011779,3.3,220
,p009698,3.8,84
,p012160,3.2,121
,p013230,3.8, 3011
,p008353,3.6, 2034
,p004658,4.1, 1401
,p003541,4.1,117
,p008739,4.2,150
,p002626,4.1,102
,p004805,3.6,496
,p007205,4.0,193
,p007830,3.6,154
,p007343,3.7, 1506
,p012479,3.9,86
,p008194,3.2,186
,p000073,3.7,65
,p010188,3.7,92
,p011172,4.0, 1134
,p006612,3.7, 1264
,p004151,4.0,487
,p012426,4.2, 2202
,p008953,3.9,73
,p007708,3.9,27
,p001961,4.1,372
,p003213,3.6,107
,p001683,3.9,81
,p011824,3.7,41
,p001782,4.2,151
,p006310,4.2,46
,p000132,3.8,549
,p008866,3.8,117
,p011549,3.6,157
,p008546,3.8,382
,p006893,4.4,39
,p007257,4.2,179
,p012518,3.2,28
,p004561,3.6,302
,p009827,3.9,127
,p009648,4.1,41
,p005883,4.1,278
,p008727,3.5,70
,p010927,4.0,64
,p011543,3.5,336
,p010347,4.3,847
,p012732,3.7, 1679
,p003890,3.6,46
,p009734,4.1,41
,p005375,4.1,721
,p013280,4.2, 1409
,p006380,4.1, 1664
,p007865,3.6,45
,p005042,3.8,329
,p007308,4.6,146
,p003417,3.9,38
,p010808,3.8,54
,p008626,3.9,43
,p002813,3.8,551
,p011822,4.0,340
,p003115,3.8,26
,p007119,4.5,221
,p001450,3.8,101
,p008744,3.6,32
,p001151,3.7,193
,p012654,4.2,120
,p008465,4.1,160
,p005989,3.8,33
,p002506,3.5,259
,p005328,4.4,67
,p004491,3.7,119
,p006858,3.5,85
,p002116,4.0,381
,p004298,3.3, 2797
,p011354,4.0,37
,p008417,4.2,66
,p000599,4.1,88
,p010735,4.4, 2246
,p008964,3.3,66
,p002897,3.9,63
,p007433,3.9,39
,p009303,3.8,137
,p008456,3.7,38
,p004599,3.6,212
,p013786,3.6,97
,p012386,3.8,64
,p010225,4.4,47
,p002669,3.8, 2239
,p013244,3.8,294
,p002576,4.6,101
,p013112,3.9,72
,p009655,3.8,97
,p007517,3.5,101
,p005784,3.7,311
,p005495,3.5,31
,p012516,3.9,55
,p012165,3.7, 4127
,p012758,3.6,100
,p012358,3.8, 1358
,p008328,4.0,300
,p003688,3.5,71
,p008619,4.2, 1863
,p013187,4.7,538
,p003487,3.5,118
,p000393,4.3,154
,p000873,3.6,59
,p012972,3.7, 5974
,p003200,4.1,239
,p003050,3.3,114
,p004380,3.9,239
,p006782,4.3,47
,p002841,3.6,200
,p012507,3.3,99
,p001454,3.8,327
,p012373,4.0,510
,p006562,3.5,401
,p011544,3.8,83
,p003870,3.9,50
,p002641,3.5,32
,p002284,3.9,76
,p010133,3.6, 1003
,p010621,3.9,127
,p003785,3.5,192
,p011451,3.7,112
,p007963,4.0,70
,p008143,4.0,168
,p005299,4.0,82
,p004134,3.6,199
,p012346,4.0,49
,p012446,3.6,626
,p012893,3.6,42
,p002692,3.6,39
,p010279,4.2,146
,p000012,3.7,39
,p007788,3.5,40
,p005459,4.2,305
,p009623,4.4,159
,p011660,3.2,55
,p000908,3.6,431
,p007008,4.0,25
,p007991,4.2,97
,p001235,3.8,251
,p004984,3.9,165
,p011307,4.7,35
,p008223,4.2,58
,p012502,3.6,92
,p008139,3.8,622
,p005353,3.6,633
,p004871,4.0,868
,p007085,4.1,27
,p009065,3.9,316
,p005312,3.8, 1490
,p008032,4.1,189
,p008209,3.9,47
,p004771,4.4, 1254
,p007111,3.4,99
,p005475,3.6,657
,p008672,3.7,37
,p008491,4.1,188
,p012520,3.7,90
,p012712,3.4,377
,p012382,4.0,783
,p005699,3.5,28
,p008166,3.8,145
,p003132,3.7,816
,p007591,3.6,40
,p011682,3.6,91
,p010034,3.5,198
,p005307,3.8,588
,p006430,4.1,29
,p008505,3.9,225
,p005460,3.9,73
,p006373,4.2,241
,p005185,3.8,346
,p012586,3.7,61
,p008895,4.2,49
,p011018,4.1, 1056
,p001380,3.5,67
,p010588,3.9,819
,p013362,4.0,892
,p002110,3.9,312
,p007390,3.7,733
,p011827,3.8,573
,p005563,4.5,71
,p004961,3.8,380
,p000110,3.6,54
,p011751,3.6,646
,p012701,3.7,54
,p002500,3.8,49
,p005236,4.0,149
,p006107,3.8,302
,p005971,3.5,36
,p013742,3.5,74
,p011215,3.3,169
,p007943,3.5,31
,p006399,4.2,269
,p008948,3.7,43
,p002796,4.1,100
,p007121,4.3,391
,p004894,3.8,42
,p004740,3.8,35
,p011703,3.6,41
,p005352,3.9,983
,p005917,3.6,47
,p006065,3.7,338
,p001610,4.1,119
,p003930,3.8,377
,p007956,3.9,57
,p008493,3.9,39
,p000574,3.7,28
,p011264,4.1,135
,p005638,3.9,37
,p007439,3.9,44
,p005241,4.5,30
,p008622,3.6,98
,p005925,4.0,913
,p006456,4.3,33
,p006195,4.1,75
,p010113,3.6,51
,p007503,3.7,274
,p011614,3.2,243
,p000290,4.2,52
,p008388,3.8,372
,p007647,3.5,140
,p002204,3.6,91
,p001365,3.8,87
,p009372,3.6, 4135
,p012798,3.6,106
,p006583,3.6,923
,p005354,3.9,688
,p004277,4.5,495
,p010619,3.9,70
,p003263,3.9,100
,p006518,3.4,127
,p005370,3.8,760
,p010778,3.7,138
,p006230,3.7,67
,p006381,3.8,461
,p003995,3.8, 3393
,p011760,3.5,63
,p011973,3.6,119
,p001934,4.1,40
,p010413,3.9,443
,p009012,4.2,816
,p010137,4.1,736
,p001412,3.7,567
,p007605,3.0,29
,p001261,3.9,529
,p003273,4.1,30
,p007177,3.9,286
,p010922,3.7, 2118
,p009838,3.9,916
,p004931,3.8,272
,p006231,3.8,65
,p001022,3.8,51
,p005380,4.5,158
,p002992,3.9,43
,p002672,3.8,46
,p003486,3.8,64
,p001692,3.9,68
,p003506,3.7,26
,p007861,4.0,48
,p013070,3.4,25
,p007527,3.9,925
,p013289,3.6,79
,p010261,3.9,358
,p009872,3.7, 1573
,p003438,4.3,43
,p001343,4.0,458
,p010944,4.2,114
,p001201,4.2,87
,p002941,3.9, 1532
,p001425,4.1,124
,p001690,4.1, 1180
,p003461,3.9,268
,p009570,4.1, 1367
,p012723,3.6,48
,p001110,3.8,48
,p002430,4.0,173
,p013537,3.7, 1536
,p005877,4.0,65
,p006728,3.7,512
,p013549,4.3,136
,p008638,3.9, 3121
,p013779,3.8,225
,p006410,3.6,76
,p003476,3.8,349
,p003090,3.8,34
,p006960,4.1,116
,p009758,3.9,29
,p003826,3.3,709
,p003422,4.0,233
,p003682,3.8,96
,p000817,3.8,159
,p002441,3.7,216
,p001381,4.1,352
,p004506,4.4, 1030
,p013285,4.0,92
,p003309,4.4,281
,p012809,3.6,30
,p003307,4.4,35
,p006202,3.4,29
,p002321,4.1,57
,p003898,4.0,167
,p001213,3.7,113
,p008933,4.1,108
,p005041,3.8,42
,p007769,4.3,296
,p004045,3.5,781
,p003909,4.3,139
,p012640,3.4,146
,p007994,3.9,42
,p007490,3.7,242
,p012614,3.9,351
,p003940,4.1,34
,p009147,3.4,259
,p007656,4.1,200
,p010022,4.2, 3166
,p006937,3.7,553
,p011727,3.6,93
,p006916,3.5,104
,p013687,3.7,352
,p007477,4.0,29
,p000693,3.7,245
,p009113,4.0,56
,p004245,4.1,239
,p002534,4.4,33
,p008073,4.3,26
,p004880,4.1,163
,p003683,3.8,171
,p009140,3.7,101
,p003171,4.7,401
,p002653,4.0, 2926
,p000187,4.6, 2949
,p009517,3.7,81
,p010982,3.9,167
,p005482,3.9,103
,p008379,4.0,80
,p006892,4.3,70
,p010246,4.0,55
,p006812,3.8,54
,p011454,4.1,288
,p008867,4.0,55
,p002701,4.1, 1588
,p009981,3.8,321
,p011957,3.6,375
,p010947,3.3,78
,p005125,4.2,167
,p005801,3.9,92
,p006429,4.2,119
,p004575,3.8,491
,p010822,3.7,268
,p009445,3.3,173
,p003839,3.7,41
,p007090,3.9,222
,p006168,3.7,138
,p006646,3.8,43
,p000894,4.2, 1208
,p008890,3.7,47
,p003948,3.9,49
,p005537,3.8, 1205
,p000205,3.6,143
,p008015,3.5,89
,p003216,3.6,39
,p006324,3.7,37
,p010499,4.1,32
,p009543,3.8,25
,p007361,4.3, 2308
,p011417,3.1,44
,p007381,4.0,112
,p008019,3.5,856
,p013824,4.1,190
,p005955,3.8,101
,p006910,3.9,142
,p013405,4.3,596
,p007326,4.4,291
,p008605,3.6,609
,p008265,3.4,30
,p003732,3.8,54
,p006689,4.1,134
,p000046,4.0,49
,p000041,3.7,892
,p000214,3.9,194
,p012414,3.7, 1659
,p000800,3.6,182
,p003722,3.4,857
,p007374,3.4,31
,p006336,3.9,132
,p000770,3.8,174
,p006165,3.3,70
,p005171,3.6,407
,p008847,4.0,125
,p011861,3.6,57
,p005055,3.1,25
,p009494,4.0,56
,p010896,4.0,139
,p005452,4.2,270
,p003874,4.2,100
,p012164,3.7,178
,p009016,3.9,957
,p007146,4.3,36
,p008473,3.9,35
,p010243,4.1, 5708
,p002630,3.8,168
,p010524,3.7,46
,p004810,4.3, 4361
,p007421,3.8,297
,p009295,3.7,83
,p005893,3.9,40
,p007400,3.9,96
,p010614,3.9,149
,p001055,3.8,98
,p000587,3.5,70
,p000615,4.3,85
,p005594,3.6,117
,p003741,4.2,362
,p011134,3.9,130
,p005184,3.2,654
,p004770,3.9,42
,p001635,4.1,35
,p003291,3.7,28
,p009410,3.7,26
,p009703,3.7,333
,p005272,3.6,125
,p002648,3.2,118
,p012306,3.8,184
,p000019,3.9,301
,p005395,4.3,196
,p002312,3.7,144
,p011321,4.3,389
,p009137,3.6,40
,p009132,3.3,436
,p009335,3.2,74
,p004143,3.8,733
,p005280,3.2,75
,p008142,3.8,44
,p011326,4.0,101
,p010612,4.3,109
,p009433,4.4,189
,p007690,3.9,170
,p013161,3.7, 3676
,p005003,3.7,48
,p000415,3.7, 1267
,p000822,4.1,109
,p001624,3.9,76
,p010684,3.5,798
,p001422,3.6,60
,p000772,4.0,218
,p000576,3.6,25
,p012973,3.8,321
,p010503,3.7,92
,p009616,4.1,64
,p003640,3.8,164
,p006188,3.9,81
,p012394,4.2,39
,p002936,3.9,34
,p011580,3.3,58
,p010051,4.1,95
,p006252,4.1,642
,p010310,3.4,126
,p004493,3.8,114
,p005718,4.0,187
,p004538,3.6,35
,p011076,4.3,210
,p003255,3.9, 1114
,p009471,3.7,28
,p006931,3.9,124
,p005938,4.2,207
,p007340,3.9,140
,p004829,3.8, 1582
,p000304,4.2,476
,p013674,3.6,340
,p000938,4.2,770
,p004888,3.5,71
,p005389,3.4,108
,p002092,4.4,426
,p000504,3.8,74
,p003796,3.9,321
,p001162,3.8,366
,p009087,3.8,143
,p006461,3.6,162
,p013536,3.5,531
,p013014,2.6,33
,p007494,4.3,91
,p000031,4.2,116
,p000409,4.0,235
,p007626,3.5,129
,p000981,4.0,116
,p008842,4.3,324
,p001642,3.6,117
,p012558,3.9,40
,p009194,3.8,148
,p005462,3.9,179
,p005657,3.5,155
,p002566,3.7,171
,p004580,4.0,26
,p008216,3.7,65
,p010604,3.8,538
,p009967,4.6,84
,p013054,3.6,41
,p004275,4.1,76
,p008816,4.1,51
,p011435,3.9,43
,p006796,3.7,91
,p001140,3.9,49
,p005162,3.4, 1830
,p001095,4.0,391
,p010960,3.3,28
,p003684,3.6,116
,p000771,3.9,266
,p012991,3.6,46
,p006190,4.2,152
,p013026,3.7,33
,p013241,3.6,108
,p010782,4.0,356
,p002587,3.6,27
,p004760,3.8,595
,p008698,3.8,65
,p004757,3.6,304
,p001405,4.5, 1072
,p013743,3.9,27
,p011607,3.6,79
,p006681,4.3,154
,p001634,4.0,45
,p004157,4.1,42
,p001539,3.9,67
,p001429,3.6,142
,p006468,4.0,407
,p003905,4.0,36
,p008333,4.3,131
,p009661,3.2,195
,p006987,3.7,49
,p002285,4.2,614
,p010513,4.0,148
,p003535,3.6,305
,p005827,4.0,40
,p005982,4.2,70
,p002632,4.1,30
,p008238,3.8,528
,p009035,4.0,127
,p011265,3.3,37
,p005470,4.0,682
,p004092,3.9,85
,p003048,4.0,146
,p005903,3.8,34
,p002314,3.7,464
,p013255,3.9,249
,p006023,3.7,269
,p004501,4.1,30
,p013324,3.6,58
,p004334,4.3,179
,p013827,3.7, 1344
,p007127,3.7,52
,p001551,4.2,444
,p003579,4.0,281
,p011898,3.9,87
,p000071,3.8,40
,p008998,3.6,26
,p006510,3.5,75
,p005553,3.8,823
,p012325,3.6,99
,p000622,3.7,172
,p004008,3.7,858
,p010384,4.0,517
,p002774,3.8,58
,p000064,3.9,664
,p000467,3.1,169
,p013706,3.6,73
,p002093,3.7,387
,p011470,4.1,773
,p011821,4.2,165
,p012065,3.5,736
,p002174,4.6,34
,p008745,3.8,78
,p004049,3.8,51
,p009672,4.6,675
,p007920,3.6,64
,p004876,4.5,421
,p000720,3.9,86
,p003769,4.3,740
,p001106,4.2,573
,p005130,3.9,288
,p007126,3.8, 1286
,p002518,4.3,68
,p005384,4.1,55
,p002244,3.7, 1249
,p012869,3.7,49
,p010626,3.3,68
,p009367,3.8,601
,p006765,4.3,63
,p006229,3.9,196
,p001389,4.3,402
,p003469,3.9,176
,p012552,4.3,631
,p002186,4.2,784
,p013035,3.7,35
,p003936,4.2,573
,p011420,4.1,51
,p008009,4.1,487
,p004300,3.7,73
,p001809,3.9,112
,p011716,3.6,29
,p003703,3.5,37
,p004522,3.8,209
,p002401,3.6,130
,p003694,4.0,794
,p009859,3.6,34
,p004854,3.9,85
,p013686,3.2,406
,p008563,4.0,118
,p010035,3.7,213
,p010422,3.6,329
,p009446,4.3,586
,p005411,3.6,293
,p009416,4.3,185
,p002823,4.0,73
,p010434,3.7,246
,p006078,3.5,34
,p001798,3.7,80
,p013047,3.7,584
,p008226,3.5,45
,p009819,3.7,72
,p001942,4.5,245
,p011002,3.5,292
,p011782,3.6,679
,p011298,4.1,79
,p007667,3.8,146
,p007824,3.6,488
,p009563,3.6,30
,p005274,3.9,276
,p010248,3.9,28
,p013671,3.6,276
,p009896,4.0,591
,p002674,3.4,109
,p006563,4.1,61
,p000545,3.6,378
,p012189,3.5,108
,p007168,3.8,232
,p011302,3.7,188
,p000201,4.1,135
,p011974,3.5,64
,p005315,3.7,682
,p010380,3.8,277
,p009188,4.1,600
,p000677,3.7,30
,p013414,4.1,133
,p002887,4.1,557
,p000804,3.6,261
,p010987,4.3,70
,p013333,3.8,43
,p003126,3.8,29
,p013690,3.4,25
,p000661,3.8,40
,p013727,3.7,55
,p011121,3.9,33
,p005177,4.3,192
,p001010,3.9,28
,p002553,3.7,380
,p003278,3.9,276
,p005554,3.3,76
,p011594,4.2,218
,p004219,3.6,138
,p006493,3.7,28
,p009261,3.8,86
,p000156,3.7, 3445
,p005070,4.5, 1608
,p003659,3.7,132
,p011737,4.0,509
,p009246,3.5,27
,p001446,3.6,191
,p002362,3.7,36
,p005211,4.5,334
,p007243,3.6,147
,p005640,3.7,379
,p003670,4.1,69
,p004999,3.9,205
,p002577,3.7,102
,p012213,4.2, 1232
,p008633,4.4,31
,p006929,3.9,119
,p004460,3.9,389
,p009377,3.7,35
,p001820,4.1,25
,p011244,3.9,34
,p012010,3.3,116
,p012012,4.2, 2161
,p012424,3.6,94
,p006219,3.8, 1794
,p009134,3.8,504
,p007964,3.6,71
,p011490,3.5,44
,p006724,4.3,129
,p001747,3.8,613
,p005972,3.7,86
,p002138,4.1,33
,p003726,4.2,82
,p009007,4.1,124
,p009991,3.8,87
,p012399,3.9,923
,p000961,3.7,58
,p000483,3.7,35
,p010736,3.9, 1227
,p000998,3.6,462
,p012844,4.1,50
,p010291,3.5,63
,p008130,4.0,329
,p003097,4.4,783
,p008438,3.9,63
,p007835,3.4,79
,p009958,4.2,268
,p010931,4.2,41
,p003574,4.0,331
,p011071,3.8,72
,p010241,3.7,62
,p008929,3.9,153
,p004251,3.7,116
,p008086,3.8,97
,p006730,3.7,48
,p006756,3.6,332
,p001680,3.8,70
,p006447,3.8,29
,p009102,3.8,678
,p001979,4.5,746
,p006968,3.6,68
,p002485,4.2,120
,p011746,3.5,633
,p009769,3.6,55
,p005324,3.6,344
,p011315,3.9,48
,p007970,4.3,141
,p013555,3.8,542
,p012201,3.7,52
,p001919,4.0,27
,p012944,3.6,38
,p001455,4.1,110
,p006002,3.7,27
,p008732,4.1,273
,p010766,4.3,100
,p001466,3.6,154
,p013594,4.2,574
,p000083,3.5,47
,p006084,3.8,33
,p006780,3.7,58
,p013621,4.2,73
,p013079,3.7,777
,p001202,4.0,268
,p013382,3.9,627
,p001796,3.3,29
,p008162,4.3,33
,p009643,3.7,261
,p011320,4.3,64
,p011836,3.7,490
,p009946,4.0,331
,p004042,3.9,36
,p009722,3.9,37
,p004953,3.9,244
,p012930,4.5,61
,p013216,3.7,57
,p012035,4.3, 1169
,p009622,3.8,61
,p012187,3.5,128
,p011391,3.8, 1525
,p000457,4.0,60
,p013483,4.0, 7941
,p011069,3.9,38
,p007329,3.8,731
,p001800,4.2,40
,p003756,3.8,695
,p011450,4.1,177
,p009242,4.4,54
,p013746,3.6,27
,p010522,3.5,394
,p003914,3.6,138
,p004364,4.0,361
,p013688,3.7,62980
,p004256,3.4,69
,p007046,3.6, 2227
,p005099,4.3,111
,p009683,4.5,712
,p013337,3.7,61
,p004452,3.8,328
,p012496,3.9,119
,p009852,3.8,471
,p002836,3.5,191
,p011965,4.2,94
,p013737,3.9,320
,p010162,4.2,429
,p010143,3.7,143
,p000191,3.6,285
,p002372,3.7,147
,p013142,4.4,158
,p012476,3.7,532
,p003557,3.5, 1226
,p004464,4.1,108
,p003624,3.5,287
,p009841,3.8,30
,p002274,3.9,254
,p007456,4.2, 1168
,p005677,4.3,334
,p006319,4.2,31
,p000835,3.5,180
,p009117,3.2,324
,p011219,3.6,80
,p007982,4.0,61
,p003448,4.4,181
,p005935,3.5,494
,p012300,3.7,253
,p008560,4.3,105
,p001263,4.4,84
,p011210,3.8,207
,p003088,3.8, 4134
,p003295,3.3,28
,p010955,3.7,199
,p013005,4.3,87
,p000997,3.9, 1118
,p006814,3.4,46
,p009702,3.8,31
,p009153,3.9, 1637
,p007017,3.9,282
,p010287,4.1,126
,p009110,4.2,222
,p004265,4.2,209
,p000642,4.0,149
,p002019,3.9,211
,p012495,4.1, 1036
,p011674,4.5,47
,p004388,4.3,46
,p008361,3.9,517
,p007794,4.5,363
,p006790,4.1,282
,p000465,3.9,555
,p004123,3.9,43
,p001302,4.1,150
,p013643,3.7,100
,p002382,4.3,123
,p000821,3.6,77
,p008078,3.9,83
,p001688,3.8,513
,p001232,4.5,149
,p002355,3.9, 1685
,p000831,3.8,283
,p009750,4.0,93
,p005769,4.0,425
,p000135,3.6, 1084
,p005754,4.1,58
,p003869,3.7,163
,p005588,4.1,610
,p004011,3.9,40
,p012940,3.9,25
,p008768,3.8,241
,p012894,3.6,155
,p009788,4.6,327
,p010893,4.0,262
,p001989,3.7,69
,p000668,3.9,106
,p000308,4.1,108
,p002144,3.9,35
,p002953,4.1,50
,p013248,4.0,374
,p000234,3.8,133
,p007482,3.7, 3107
,p011062,3.8,45
,p000793,4.1,37
,p011771,4.2,469
,p012504,3.6, 1654
,p001028,3.8,34
,p003912,3.9,233
,p012838,3.6,236
,p003764,3.7,207
,p010761,3.9,36
,p011161,4.0,363
,p008030,4.1,609
,p000887,4.2,265
,p005407,3.9,107
,p007189,3.9,376
,p008477,3.8, 4214
,p013425,4.0,230
,p004803,3.8,27
,p009122,3.8,44
,p003567,4.1,75
,p013159,3.8,487
,p010798,4.0, 1424
,p012408,4.0,78
,p008743,4.1,227
,p006799,3.6,111
,p008310,3.5, 2401
,p004537,3.6,41
,p004952,3.6,275
,p003174,3.7, 1033
,p007195,3.3,498
,p001171,3.5,60
,p008127,4.3,176
,p004589,3.1,119
,p002514,4.3,800
,p002193,3.8,70
,p001550,3.6,477
,p003245,4.1, 2072
,p011003,3.9,965
,p003976,4.2,328
,p000764,3.6,35
,p011162,4.0,45
,p010573,3.8,160
,p000962,4.2,87
,p012756,3.9,35
,p005750,3.8, 4846
,p003864,3.9,228
,p011151,3.4, 2723
,p000418,3.3,215
,p001207,3.9,33
,p010235,4.0,55
,p005481,3.8,153
,p001484,3.8,189
,p011935,3.8,298
,p003227,3.8,451
,p010701,3.6,163
,p008682,4.0,92
,p003394,3.8,321
,p007686,4.0, 1038
,p013540,4.2,123
,p013359,3.4,62
,p012245,3.7,42
,p007156,4.1,29
,p012605,3.4,34
,p008947,3.7,84
,p012583,3.7,70
,p005053,4.1,374
,p006734,3.7,953
,p004171,4.0,159
,p006416,3.5,238
,p008959,4.1,148
,p013545,4.3,909
,p005009,3.8,205
,p008852,3.7,82
,p005855,4.5,68
,p013223,3.8, 2290
,p003384,3.7,47
,p006997,4.2,274
,p009745,3.0,62
,p002738,3.7,41
,p002047,4.1,193
,p012445,4.2,28
,p002079,3.6,534
,p008957,4.6,60
,p006457,3.8,166
,p003793,3.9,614
,p013000,4.0,246
,p005306,3.6,38
,p000411,3.9,149
,p002260,3.7,500
,p001225,3.7,53
,p012216,4.1,366
,p003934,4.0,47
,p013465,4.4,220
,p008556,3.9,64
,p009418,4.1,119
,p005858,3.5,66
,p010630,4.6,91
,p000775,3.8,221
,p012455,3.9,680
,p003588,4.1,269
,p003317,3.6,199
,p012149,3.9, 2781
,p002054,3.9,282
,p009315,4.0,27
,p011496,3.5,83
,p009652,4.3,93
,p002840,4.1,116
,p001282,4.3,250
,p005983,3.8,77
,p009210,3.6,211
,p009589,3.7,177
,p004933,4.0,60
,p009288,4.6,73
,p000029,3.4,180
,p004812,3.7,101
,p008868,3.6,117
,p003023,3.5,35
,p000322,3.7,35
,p006478,3.8,67
,p010908,3.6,34
,p003723,3.8,296
,p001332,4.2,215
,p006605,3.9,120
,p005415,4.2, 1597
,p000035,4.2,33
,p012575,4.1,344
,p002262,4.5,156
,p012618,3.8,68
,p011410,3.9,324
,p001077,4.3,181
,p010979,4.4,123
,p002009,4.1,33
,p010879,3.8,27
,p011310,3.9,36
,p012344,4.1,129
,p005230,3.5,33
,p008497,4.2,381
,p002247,4.3, 1037
,p011047,4.3,289
,p003828,3.7,274
,p002416,4.0,32
